lon,lat,dep,idx
403643.6666,4328006.738,2.099999905,1874
403612.3339,4327481.78,2.099999905,1875
403639.6733,4327521.481,2.099999905,1876
403693.2162,4327522,2.099999905,1877
403752.9622,4327518.101,2.104180098,1878
403812.0122,4327523.035,2.400000095,1879
403847.4524,4327480.222,2.400000095,1880
403897.2907,4327490.669,2.400000095,1881
403948.1781,4327501.316,2.099999905,1882
403995.271,4327498.968,2.099999905,1883
404045.0384,4327494.151,1.459660053,1884
404054.0701,4327789.944,0.300000012,1885
403585.6404,4328088.547,0.300000012,1888
403576.1614,4328189.504,0.300000012,1890
403581.0005,4328073.109,0.639880002,1891
403624.0712,4328058.14,1.859740019,1892
403589.2144,4327525.511,2.099999905,1893
403619.1397,4327564.811,2.099999905,1894
403669.2899,4327561.288,2.099999905,1895
403720.6044,4327561.621,2.099999905,1896
403776.6208,4327565.769,2.200000048,1897
403833.3287,4327570.703,2.400000095,1898
403864.7098,4327524.942,2.400000095,1899
403917.2478,4327534.801,2.299999952,1900
403971.9993,4327548.716,2.099999905,1901
404021.9928,4327539.683,2.002799988,1902
404069.3945,4327536.828,1.323359966,1903
404062.3906,4327835.881,0.300000012,1904
403599.5748,4328233.729,0.300000012,1909
403608.8926,4328111.902,0.818040013,1910
403654.0941,4328097.279,1.677489996,1911
403602.4628,4327613.343,2.099999905,1912
403647.7397,4327604.365,2.099999905,1913
403695.6378,4327602.617,2.099999905,1914
403743.6675,4327604.499,2.099999905,1915
403793.7319,4327610.729,2.2442801,1916
403834.7545,4327620.272,2.376100063,1917
403878.3084,4327614.122,2.400000095,1918
403882.9011,4327566.207,2.400000095,1919
403926.585,4327580.992,2.311059952,1920
403970.3279,4327601.448,2.099999905,1921
404014.8142,4327587.999,1.830719948,1922
404059.6788,4327585.465,1.490540028,1923
404057.9206,4327885.518,0.300000012,1924
403592.727,4328157.672,0.300000012,1929
403642.3466,4328149.253,0.797819972,1930
403595.4586,4327670.986,0.562759995,1931
403630.7436,4327647.653,1.980800033,1932
403672.7873,4327647.829,2.099999905,1933
403718.0345,4327646.589,2.099999905,1934
403764.2349,4327649.552,2.099999905,1935
403812.2512,4327659.145,2.099999905,1936
403859.2333,4327664.67,2.299999952,1937
403903.489,4327665.058,2.400000095,1938
403923.5926,4327624.357,2.400000095,1939
403957.3835,4327649.619,2.200000048,1940
404007.3106,4327636.849,1.933699965,1941
404053.2893,4327634.409,1.307860017,1942
404054.2721,4327935.728,0.300000012,1943
